"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\ChangeTaskStatusRequest.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\CreateTaskCommentRequest.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\CreateTaskRequest.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\RequestAssignTaskRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\TaskCommentDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\TaskDetailsDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\TaskDto.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Projects\IDo\src\IDo.Application\DTOs\Tasks\UpdateTaskRequest.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Projects\IDo\src\IDo.Application\DTOs\Today\TodayDashboardDto.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Projects\IDo\src\IDo.Application\DTOs\Today\TodaySummaryDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
